source,project_id,project_name,bbl,geom
DCP Application,2018R0366,SS SD 245 Edgegrove Avenue,,
DCP Application,P2010K0027,ROSE PLAZA ON THE RIVER,,
DOB,520393477,11 ESTELLE PLACE,5077640082,
DOB,520393468,7 ESTELLE PLACE,5077640084,
DCP Application,P2013R0112,16 Wandel Avenue,,
DCP Application,2018R0514,SS 45 Dominic Lane,,
DCP Application,P2012R0610,SS 136 Mayberry Promenade,,
DCP Application,2018R0512,SS 24 Ottavio Promenade,,
DCP Application,P2018R0014,SS 1452 Drumgoole Road West,,
DCP Application,2019R0049,SD SS 78 Woodland Ave,,
DCP Application,P1987X0345,SHOREHAVEN,,
DCP Application,P2017R0291,SS 471 Rensselaer Avenue,,
DCP Application,P2013R0125,SS SD Parkwood Avenue,,
DCP Application,2018R0392,"SS SD Detroit and Edgegrove Avenues (B 6228, L 23)",,
DCP Application,P2016R0285,SS 215 McBaine Avenue,,
DCP Application,2018R0394,"SS SD Canton Avenue and Holcomb Avenue(6272,13/15)",,
DCP Application,2019R0274,SS Clarke Avenue,,
DCP Application,2018R0388,SS 230 Yetman Avenue,,
DCP Application,P2014R0518,SS Newton Street,,
DCP Application,2018R0391,SS SD 167 Detroit Avenue and Edgegrove Avenue,,
DCP Application,P2013K0259,East River Ferry Text Amendment,,
DCP Application,2019R0143,SS 6600 Hylan Boulevard,,
DCP Application,2018R0510,SS 203 Main Street,,
DCP Application,P2016R0307,SS 72 & 76 Tenafly Place,,
DCP Application,2019K0115,Hans S. Christian Memorial Kindergarten,,
DCP Application,2019R0048,SS Annadale Road & South Railroad,,
DCP Application,2018R0513,SS 25 Dominic Lane,,
DCP Application,P2014R0174,Torrice Loop,,
DCP Application,2019R0264,SS 217 Main Street,,
DCP Application,2018R0347,SS 21 Finlay Avenue,,
DCP Application,2019R0050,SS 123 Connecticut Street,,
DCP Application,2018R0423,SS 123 Finlay Avenue,,
DCP Application,2019K0116,238 President Street House,,
DCP Application,P2015M0280,688 Broadway (Minor Modification),,
DCP Application,2018R0393,SS 217 Vineland Avenue,,
DCP Application,P2017R0247,46 East Loop Road (2017),,
DCP Application,P2015R0469,SS SD 708 Rockaway Street,,
DCP Application,P2015X0344,SEWERAGE DISTRICT S.P. #43 D17,,
DOB,320230558,812 PACIFIC STREET,3011290044,
DOB,220536463,1899 CROTONA AVE,2029460037,
DOB,421469663,194-12 DUNTON AVENUE,4105090056,
DOB,320613056,742 PINE STREET,3044840035,
DOB,321076679,53 MONTAUK AVE,3039760014,
DOB,320613163,740 PINE STREET,3044840034,
DOB,421469672,194-16 DUNTON AVENUE,4105090157,
DOB,321970890,55 SUMMIT STREET,3003520150,
DOB,520055751,524A MIDLAND AVENUE,5038020027,
DOB,520393486,15 ESTELLE PLACE,5077640080,
DOB,421940911,220-36 93 ROAD,4107300054,
DOB,520128629,114 PEARL STREET,,
DOB,420331420,65-32 38 AVE,4012230057,
DOB,520128610,108 PEARL STREET,,
DOB,320913482,298 SHERIDAN AVENUE,3042550026,
DOB,321403566,99 GROVE STREET,,
DOB,320613154,738 PINE STREET,3044840033,
DOB,220638987,1899 CROTONA AVE,2029460037,
DOB,220236509,2033 NEWBOLD AVE,,
